epoch,distortion_loss,perception_loss
0,0.8790720701217651,-8.371478080749512
1,0.8457163572311401,-6.700567722320557
2,0.7570953965187073,-3.7137362957000732
3,0.7320034503936768,-0.5309513807296753
4,0.7897616624832153,-4.047436714172363
5,0.7187090516090393,-1.6811275482177734
6,0.7678741216659546,-4.984414100646973
7,0.6752385497093201,-1.0107868909835815
8,0.6511696577072144,0.47275981307029724
9,0.6992323994636536,-2.990915536880493
10,0.6627877950668335,0.6038076877593994
11,0.6906355619430542,-0.9526168704032898
12,0.7244981527328491,-3.299311637878418
13,0.6724280714988708,-0.21290534734725952
14,0.6843672394752502,-1.5038295984268188
15,0.6890117526054382,-0.8497281074523926
16,0.6472834944725037,0.933696448802948
17,0.6565236449241638,0.003457543905824423
18,0.6464313268661499,0.831230640411377
19,0.6699026226997375,0.1358945220708847
20,0.6571424007415771,-0.031097905710339546
21,0.669743001461029,-1.0810394287109375
22,0.6494244933128357,-0.44688621163368225
23,0.6845451593399048,-2.755943536758423
24,0.6580626964569092,-2.0570569038391113
