epoch,distortion_loss,perception_loss
0,0.07303471863269806,-1.9501197338104248
1,0.04995717108249664,0.032056912779808044
2,0.05074350908398628,0.017201758921146393
3,0.053369928151369095,-0.025069070979952812
4,0.05106443166732788,0.011595203541219234
5,0.053020354360342026,0.02515738643705845
6,0.0501946285367012,0.04747454449534416
7,0.05209711939096451,0.00570330023765564
8,0.05135614052414894,0.06425672769546509
9,0.04929373785853386,0.031427524983882904
10,0.05087967962026596,0.11172568053007126
11,0.05061683803796768,0.06872987747192383
12,0.05156966298818588,-0.07720958441495895
13,0.05239010974764824,0.04494693502783775
14,0.050771258771419525,0.1292506456375122
15,0.052431248128414154,0.026876091957092285
16,0.05257905647158623,0.004154621623456478
17,0.05173090845346451,0.15735512971878052
18,0.05184553563594818,0.03546220064163208
19,0.05032796412706375,0.14473956823349
20,0.048542365431785583,0.12719953060150146
21,0.04914255812764168,0.12203429639339447
22,0.04897424951195717,0.1101837158203125
23,0.04836193472146988,0.11671029776334763
24,0.04819761589169502,0.14311158657073975
