epoch,distortion_loss,perception_loss
0,0.5474264621734619,20.819355010986328
1,0.5210909247398376,22.249492645263672
2,0.5132448673248291,23.02446174621582
3,0.5022376179695129,23.842626571655273
4,0.5045403838157654,23.191967010498047
5,0.49535056948661804,22.77225685119629
6,0.47185516357421875,24.605072021484375
7,0.5113076567649841,21.96858024597168
8,0.49889490008354187,21.960697174072266
9,0.46831831336021423,21.71538543701172
10,0.4862045645713806,25.2640438079834
11,0.46949872374534607,21.804414749145508
12,0.4761712849140167,20.012874603271484
13,0.44548895955085754,20.979429244995117
14,0.47079360485076904,22.811094284057617
15,0.44602420926094055,22.812423706054688
16,0.4538666903972626,20.67306137084961
17,0.4487828016281128,20.114822387695312
18,0.44980502128601074,23.902986526489258
19,0.4356410503387451,21.057016372680664
20,0.4295908212661743,21.601999282836914
21,0.42512786388397217,22.274139404296875
22,0.4241568148136139,22.71709632873535
23,0.4328569769859314,19.73188018798828
24,0.43292561173439026,19.928606033325195
